"cntry","dscrrce","dscrntn","dscrrlg","dscrlng","dscretn","dscrage","dscrgnd","dscrsex","dscrdsb","dscroth","ppltrst","pplfair","pplhlp","trstprl","trstlgl","trstplc","trstplt","trstprt","psppsgva","actrolga","psppipla","cptppola","polintr"
"AT",0,0,0,0,0,0,0,0,0,0,9,7,9,1,7,9,2,3,1,4,3,5,8
"AT",0,0,0,0,0,0,0,0,0,0,1,3,0,3,88,7,2,88,1,1,1,1,4
"AT",0,0,0,0,0,0,0,0,0,0,9,1,2,2,4,10,2,2,2,4,2,4,3
"AT",0,0,0,0,0,0,0,0,0,0,3,4,7,7,6,7,6,6,3,2,2,2,2
"AT",0,0,0,0,0,0,0,0,0,0,9,8,9,8,8,8,6,6,4,2,3,2,3
"AT",0,0,0,0,0,0,0,0,0,0,4,8,6,5,5,8,5,5,4,4,4,4,1
"AT",0,0,0,0,0,0,0,0,0,0,6,4,6,3,4,9,3,3,2,3,2,3,1
"AT",0,0,0,0,0,0,0,0,0,0,6,6,6,5,6,6,4,4,3,2,3,2,4
"AT",0,0,0,0,0,0,0,0,0,0,3,3,3,6,10,10,3,6,1,2,1,2,3
"AT",0,0,0,0,0,0,0,0,0,0,9,7,8,7,8,8,5,5,3,2,3,4,1
"AT",0,0,0,0,0,0,0,0,0,0,6,5,6,5,6,6,4,3,2,2,2,1,2
"AT",0,0,0,0,0,0,0,0,0,0,4,5,5,4,6,7,3,4,2,1,2,1,3
"AT",0,0,0,0,0,0,0,0,0,0,6,8,8,7,7,8,7,7,3,4,3,4,2
"AT",0,0,0,0,0,0,0,0,0,0,5,5,5,7,8,9,4,4,3,2,3,1,2
"AT",0,0,1,0,0,0,0,0,0,0,3,5,5,4,5,5,2,2,1,8,1,1,4
"AT",0,0,0,0,0,0,0,0,0,0,9,10,8,2,5,7,3,3,2,8,1,8,3
"AT",0,0,0,0,0,0,0,0,0,0,6,3,3,4,7,8,3,3,2,4,2,5,2
"AT",0,0,0,0,0,0,0,0,0,0,6,7,7,9,9,10,9,9,4,1,4,1,2
"AT",0,0,0,0,0,0,0,0,0,0,6,7,7,8,9,10,7,7,3,3,3,3,2
"AT",0,0,0,0,0,0,0,0,0,0,9,8,7,3,4,7,2,3,1,2,2,2,2
"AT",0,0,0,0,0,0,0,0,0,0,7,7,5,0,2,0,0,0,1,1,2,1,3
"AT",0,0,0,0,0,0,0,0,0,0,7,4,4,5,6,3,2,2,1,8,1,7,4
"AT",0,0,0,0,0,0,0,0,0,0,1,4,4,2,3,2,4,5,2,1,1,1,4
